,Job-Titles,Department,Salary-interval,Zip
18432,FIREFIGHTER-EMT,FIRE,"77429.47341914715,107118.52658085285",34260
18433,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",27270
18434,SENIOR LIBRARY CLERK,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",33650
18435,FOREMAN OF PIPE / SALVAGE YARDS,WATER MGMNT,"71059.47341914715,100748.52658085285",9100
18436,MACHINIST (AUTOMOTIVE),GENERAL SERVICES,"81563.47341914715,111252.52658085285",8150
18437,MOTOR TRUCK DRIVER,WATER MGMNT,"60155.47341914715,89844.52658085285",28150
18438,SIGN PAINTER,TRANSPORTN,"63051.47341914715,92740.52658085285",2820
18439,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",33127
18440,FIREFIGHTER-EMT,FIRE,"74303.47341914715,103992.52658085285",30330
18441,DETENTION AIDE,POLICE,"62675.47341914715,92364.52658085285",32160
18442,SENIOR DATA ENTRY OPERATOR,TRANSPORTN,"60155.47341914715,89844.52658085285",1420
18443,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",29690
18444,EQUIPMENT DISPATCHER,GENERAL SERVICES,"60493.07341914716,90182.12658085286",3210
18445,PARAMEDIC I/C,FIRE,"79277.47341914715,108966.52658085285",29840
18446,PUBLIC RELATIONS REPRESENTATIVE II,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",28150
18447,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",7140
18448,LABORER - APPRENTICE,WATER MGMNT,"60155.47341914715,89844.52658085285",50480
18449,POOL MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",4000
18450,GENERAL LABORER - DSS,STREETS & SAN,"60155.47341914715,89844.52658085285",8400
18451,FINGERPRINT TECHNICIAN II,POLICE,"62087.47341914715,91776.52658085285",20133
18452,ASPHALT LABORER,TRANSPORTN,"68771.47341914715,98460.52658085285",1190
18453,HOSPITALITY WORKER,FAMILY & SUPPORT,"60155.47341914715,89844.52658085285",3150
18454,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",31160
18455,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",30730
18456,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",33220
18457,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",1130
18458,CROSSING GUARD,OEMC,"60155.47341914715,89844.52658085285",51380
18459,AVIATION SECURITY SERGEANT,AVIATION,"73967.47341914715,103656.52658085285",26470
18460,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",20242
18461,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",28250
18462,FIREFIGHTER-EMT,FIRE,"77429.47341914715,107118.52658085285",2150
18463,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"89087.47341914715,118776.52658085285",28330
18464,LIBRARY ASSOCIATE - HOURLY,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",27120
18465,FIREFIGHTER-EMT,FIRE,"74303.47341914715,103992.52658085285",31510
18466,FIREFIGHTER,FIRE,"78821.47341914715,108510.52658085285",2590
18467,PARAMEDIC,FIRE,"61421.47341914715,91110.52658085285",4420
18468,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",31440
18469,LIBRARY PAGE,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",28160
18470,POLICE OFFICER,POLICE,"81215.47341914715,110904.52658085285",26260
18471,ADMINISTRATIVE ASST II,AVIATION,"60155.47341914715,89844.52658085285",20219
18472,GRANTS RESEARCH SPECIALIST,POLICE,"85931.47341914715,115620.52658085285",52190
18473,MGR OF GRAPHICS & REPRODUCTION CTR,GENERAL SERVICES,"89891.47341914715,119580.52658085285",27290
18474,COORD OF SPECIAL PROJECTS,STREETS & SAN,"78455.47341914715,108144.52658085285",3500
18475,CROSSING GUARD - PER CBA,OEMC,"60155.47341914715,89844.52658085285",26790
18476,POLICE OFFICER / FLD TRNG OFFICER,POLICE,"73451.47341914715,103140.52658085285",27410
18477,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",30140
18478,ASST CORPORATION COUNSEL III,LAW,"60923.47341914715,90612.52658085285",4250
18479,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",33950
18480,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",31370
18481,LAW CLERK,LAW,"60155.47341914715,89844.52658085285",20290
18482,PROPERTY CUSTODIAN - AUTO POUND,STREETS & SAN,"60155.47341914715,89844.52658085285",28260
18483,POLICE COMMUNICATIONS OPERATOR II,OEMC,"66311.47341914715,96000.52658085285",33820
18484,FIREFIGHTER-EMT (RECRUIT),FIRE,"60155.47341914715,89844.52658085285",2300
18485,LIEUTENANT,POLICE,"105407.47341914715,135096.52658085286",27630
18486,POLICE COMMUNICATIONS OPERATOR II,OEMC,"74279.47341914715,103968.52658085285",26130
18487,PARKING ENFORCEMENT AIDE,FINANCE,"60155.47341914715,89844.52658085285",28200
18488,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",26170
18489,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",2880
18490,CROSSING GUARD,OEMC,"60155.47341914715,89844.52658085285",3220
18491,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"82595.47341914715,112284.52658085285",28360
18492,MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",51500
18493,TREE TRIMMER,STREETS & SAN,"62635.47341914715,92324.52658085285",1450
18494,LABORER,AVIATION,"60155.47341914715,89844.52658085285",31700
18495,ASSISTANT DIRECTOR OF FINANCE,FIRE,"79031.47341914715,108720.52658085285",2880
18496,LEGISLATIVE AIDE,CITY COUNCIL,"60155.47341914715,89844.52658085285",26460
18497,BATTALION CHIEF - EMT,FIRE,"134657.47341914714,164346.52658085286",20140
18498,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",1510
18499,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",33240
18500,POLICY ANALYST,TREASURER,"60155.47341914715,89844.52658085285",51130
18501,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",33760
18502,ACCOUNTING TECHNICIAN II,FINANCE,"60155.47341914715,89844.52658085285",32110
18503,MOTOR TRUCK DRIVER,AVIATION,"60155.47341914715,89844.52658085285",52330
18504,FIREFIGHTER,FIRE,"82541.47341914715,112230.52658085285",1160
18505,POLICE OFFICER,POLICE,"61421.47341914715,91110.52658085285",33540
18506,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",9300
18507,TESTING MANAGER,HUMAN RESOURCES,"80915.47341914715,110604.52658085285",4200
18508,ASST CORPORATION COUNSEL II,LAW,"89999.47341914715,119688.52658085285",3330
18509,PUBLIC RELATIONS COORD,CULTURAL AFFAIRS,"78455.47341914715,108144.52658085285",7140
18510,PLUMBER,WATER MGMNT,"85515.47341914715,115204.52658085285",26310
18511,COMMUNICATIONS OPERATOR I - 311,OEMC,"60155.47341914715,89844.52658085285",3330
18512,FIRE COMMUNICATIONS OPERATOR II,OEMC,"80867.47341914715,110556.52658085285",1260
18513,GARAGE ATTENDANT,GENERAL SERVICES,"60155.47341914715,89844.52658085285",27270
18514,CONSTRUCTION LABORER,WATER MGMNT,"68771.47341914715,98460.52658085285",31510
18515,BOOTER - PARKING,FINANCE,"60155.47341914715,89844.52658085285",2100
18516,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",7230
18517,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",51470
18518,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",27220
18519,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",28700
18520,GENERAL LABORER - DSS,STREETS & SAN,"60155.47341914715,89844.52658085285",52320
18521,LIBRARY CLERK,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",5140
18522,GENERAL LABORER - DSS,STREETS & SAN,"60155.47341914715,89844.52658085285",20200
18523,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",8220
18524,MOTOR TRUCK DRIVER,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",31600
18525,PARAMEDIC FIELD CHIEF,FIRE,"126125.47341914715,155814.52658085286",1100
18526,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",30120
18527,PARAMEDIC,FIRE,"61421.47341914715,91110.52658085285",4120
18528,CROSSING GUARD,OEMC,"60155.47341914715,89844.52658085285",1570
18529,PARAMEDIC I/C,FIRE,"67769.47341914715,97458.52658085285",27520
18530,POLICE OFFICER,POLICE,"61421.47341914715,91110.52658085285",4250
18531,POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,"83207.47341914715,112896.52658085285",2130
18532,SENIOR COMPUTER CONSOLE OPERATOR,BUILDINGS,"60155.47341914715,89844.52658085285",51300
18533,ENVIRONMENTAL ENGINEER III,GENERAL SERVICES,"76619.47341914715,106308.52658085285",33540
18534,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",8380
18535,POLICE OFFICER/EXPLSV DETECT K9 HNDLR,POLICE,"83207.47341914715,112896.52658085285",32600
18536,FORESTRY SUPVSR,STREETS & SAN,"73463.47341914715,103152.52658085285",32230
18537,POLICE OFFICER,POLICE,"61421.47341914715,91110.52658085285",26470
18538,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",1230
18539,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",27400
18540,STAFF ASST TO THE ALDERMAN,CITY COUNCIL,"65147.47341914715,94836.52658085285",2870
18541,FIREFIGHTER-EMT,FIRE,"70025.47341914715,99714.52658085285",20137
18542,STAFF ASST,TRANSPORTN,"73499.47341914715,103188.52658085285",30120
18543,FIREFIGHTER/PARAMEDIC,FIRE,"76427.47341914715,106116.52658085285",27930
18544,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",2480
18545,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",32240
18546,POOL MOTOR TRUCK DRIVER,AVIATION,"60155.47341914715,89844.52658085285",31250
18547,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",50620
18548,LIEUTENANT,FIRE,"100001.47341914715,129690.52658085285",3270
18549,CAPTAIN-EMT,FIRE,"121949.47341914715,151638.52658085286",32250
18550,BATTALION CHIEF-PARAMEDIC,FIRE,"133805.47341914714,163494.52658085286",6440
18551,LIEUTENANT,FIRE,"100001.47341914715,129690.52658085285",27260
18552,PARAMEDIC I/C,FIRE,"79277.47341914715,108966.52658085285",27140
18553,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",31380
18554,CROSSING GUARD - PER CBA,OEMC,"60155.47341914715,89844.52658085285",26270
18555,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",31320
18556,OPERATING ENGINEER-GROUP A,GENERAL SERVICES,"83830.67341914715,113519.72658085285",2140
18557,CROSSING GUARD,OEMC,"60155.47341914715,89844.52658085285",1510
18558,GARAGE ATTENDANT,GENERAL SERVICES,"60155.47341914715,89844.52658085285",31290
18559,POLICE COMMUNICATIONS OPERATOR I,OEMC,"60155.47341914715,89844.52658085285",51470
18560,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",33350
18561,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",2400
18562,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",33570
18563,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",3000
18564,STEAMFITTER,WATER MGMNT,"83955.47341914715,113644.52658085285",20240
18565,PARALEGAL II,LAW,"77747.47341914715,107436.52658085285",2800
18566,FIREFIGHTER-EMT,FIRE,"74303.47341914715,103992.52658085285",51260
18567,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",28410
18568,POOL MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",20151
18569,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",2300
18570,POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,"76493.47341914715,106182.52658085285",1300
18571,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"82595.47341914715,112284.52658085285",7600
18572,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",20234
18573,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"89087.47341914715,118776.52658085285",4200
18574,DIR OF PUBLIC AFFAIRS,LAW,"107975.47341914715,137664.52658085286",1800
18575,SENIOR DATA ENTRY OPERATOR,POLICE,"60155.47341914715,89844.52658085285",32190
18576,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",51800
18577,CROSSING GUARD,OEMC,"60155.47341914715,89844.52658085285",31510
18578,POLICE COMMUNICATIONS OPERATOR I,OEMC,"70211.47341914715,99900.52658085285",50310
18579,SERGEANT,POLICE,"93143.47341914715,122832.52658085285",30420
18580,TRAFFIC SIGNAL REPAIRMAN,TRANSPORTN,"86867.47341914715,116556.52658085285",20134
18581,GENERAL FOREMAN OF LINEMEN,TRANSPORTN,"105587.47341914715,135276.52658085286",2420
18582,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",26300
18583,POLICE OFFICER,POLICE,"81215.47341914715,110904.52658085285",32140
18584,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",50760
18585,FIREFIGHTER-EMT,FIRE,"80639.47341914715,110328.52658085285",7260
18586,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",31350
18587,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",29880
18588,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",52200
18589,CONSTRUCTION LABORER,WATER MGMNT,"68771.47341914715,98460.52658085285",2840
18590,PARAMEDIC I/C (ASSIGNED AS TRAINING INSTRUCTOR),FIRE,"100001.47341914715,129690.52658085285",51170
18591,STAFF ASST TO THE ALDERMAN,CITY COUNCIL,"60155.47341914715,89844.52658085285",30170
18592,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",20290
18593,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",51600
18594,FOREMAN OF MOTOR TRUCK DRIVERS,STREETS & SAN,"63280.27341914715,92969.32658085285",28800
18595,FIREFIGHTER,FIRE,"82541.47341914715,112230.52658085285",2140
18596,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",29400
18597,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",8350
18598,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",33320
18599,CROSSING GUARD,OEMC,"60155.47341914715,89844.52658085285",8390
18600,FIREFIGHTER-EMT,FIRE,"70025.47341914715,99714.52658085285",31530
18601,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",31380
18602,LIEUTENANT-PARAMEDIC,FIRE,"102185.47341914715,131874.52658085286",33680
18603,STREET LIGHT REPAIR WORKER,TRANSPORTN,"86867.47341914715,116556.52658085285",31220
18604,GENERAL FOREMAN OF CARPENTERS,TRANSPORTN,"87803.47341914715,117492.52658085285",20234
18605,COORD OF MAINTENANCE REPAIRS,HEALTH,"60155.47341914715,89844.52658085285",31460
18606,PARAMEDIC,FIRE,"60155.47341914715,89844.52658085285",32420
18607,LIBRARY ASSOCIATE,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",20229
18608,SERGEANT,POLICE,"93143.47341914715,122832.52658085285",1270
18609,TRAFFIC CONTROL AIDE-HOURLY,OEMC,"60155.47341914715,89844.52658085285",31600
18610,SERGEANT,POLICE,"89783.47341914715,119472.52658085285",31280
18611,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"86135.47341914715,115824.52658085285",3130
18612,SENIOR CITY FORESTER,STREETS & SAN,"77543.47341914715,107232.52658085285",20243
18613,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",2260
18614,FIREFIGHTER-EMT,FIRE,"70025.47341914715,99714.52658085285",29540
18615,STRUCTURAL ENGINEER,BUILDINGS,"62459.47341914715,92148.52658085285",33570
18616,HOISTING ENGINEER,STREETS & SAN,"87283.47341914715,116972.52658085285",28170
18617,MOTOR TRUCK DRIVER,STREETS & SAN,"60305.873419147145,89994.92658085284",8150
18618,POLICE OFFICER / FLD TRNG OFFICER,POLICE,"76493.47341914715,106182.52658085285",2270
18619,SHEET METAL WORKER,AVIATION,"74657.87341914714,104346.92658085284",7340
18620,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",32490
18621,OPERATING ENGINEER-GROUP A,AVIATION,"83830.67341914715,113519.72658085285",31230
18622,LIEUTENANT-EMT,FIRE,"103151.47341914715,132840.52658085286",27800
18623,POOL MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",31110
18624,FIRE ENGINEER,FIRE,"86135.47341914715,115824.52658085285",31460
18625,DETENTION AIDE,POLICE,"62675.47341914715,92364.52658085285",31180
18626,FIRE ENGINEER-PARAMEDIC,FIRE,"94811.47341914715,124500.52658085285",29460
18627,POLICE OFFICER,POLICE,"81215.47341914715,110904.52658085285",3240
18628,DETENTION AIDE,POLICE,"60155.47341914715,89844.52658085285",28310
18629,DETENTION AIDE,POLICE,"60155.47341914715,89844.52658085285",8000
18630,CLERK IV - TIMEKEEPER,WATER MGMNT,"60155.47341914715,89844.52658085285",2160
18631,POOL MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",51380
18632,DIR OF HOMELESS PREVENTION-POLICY & PLANNING,FAMILY & SUPPORT,"83399.47341914715,113088.52658085285",20219
18633,SERGEANT,POLICE,"89783.47341914715,119472.52658085285",28160
18634,LIEUTENANT,FIRE,"100001.47341914715,129690.52658085285",27210
18635,LIBRARY DIVISION CHIEF,PUBLIC LIBRARY,"92339.47341914715,122028.52658085285",29180
18636,CLERK III,POLICE,"60155.47341914715,89844.52658085285",6910
18637,LIBRARIAN IV,PUBLIC LIBRARY,"85931.47341914715,115620.52658085285",31290
18638,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",28160
18639,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",28200
18640,COLLECTIONS REPRESENTATIVE,FINANCE,"60155.47341914715,89844.52658085285",29800
18641,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",33710
18642,TIMEKEEPER - CPD,POLICE,"62087.47341914715,91776.52658085285",8400
18643,OPERATING ENGINEER-GROUP A,WATER MGMNT,"83830.67341914715,113519.72658085285",2120
18644,STAFF ASSISTANT - EXCLUDED,BUDGET & MGMT,"60155.47341914715,89844.52658085285",32730
18645,SANITATION LABORER,STREETS & SAN,"60472.27341914715,90161.32658085285",31580
18646,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",51290
18647,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"89087.47341914715,118776.52658085285",9140
18648,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",3130
18649,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",4250
18650,SERGEANT,POLICE,"93143.47341914715,122832.52658085285",7260
18651,ASST CORPORATION COUNSEL III,LAW,"68291.47341914715,97980.52658085285",9600
18652,POOL MOTOR TRUCK DRIVER,AVIATION,"60155.47341914715,89844.52658085285",28310
18653,ASST CHIEF OPERATING ENGINEER,WATER MGMNT,"93689.87341914714,123378.92658085284",33240
18654,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",27390
18655,SERGEANT,POLICE,"93143.47341914715,122832.52658085285",50200
18656,HOSPITALITY WORKER,FAMILY & SUPPORT,"60155.47341914715,89844.52658085285",27230
18657,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",2250
18658,STAFF ASST,OEMC,"60155.47341914715,89844.52658085285",3600
18659,SENIOR COMPANION,FAMILY & SUPPORT,"60155.47341914715,89844.52658085285",27310
18660,PROPERTY CUSTODIAN,POLICE,"60155.47341914715,89844.52658085285",29217
18661,LIEUTENANT-EMT,FIRE,"103151.47341914715,132840.52658085286",2140
18662,LIEUTENANT-EMT,FIRE,"106973.47341914715,136662.52658085286",33590
18663,FIRE ENGINEER-EMT,FIRE,"95369.47341914715,125058.52658085285",32720
18664,POOL MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",31420
18665,FOSTER GRANDPARENT,FAMILY & SUPPORT,"60155.47341914715,89844.52658085285",2340
18666,SANITATION LABORER,STREETS & SAN,"60472.27341914715,90161.32658085285",1360
18667,FIREFIGHTER,FIRE,"72161.47341914715,101850.52658085285",28500
18668,ASST CORPORATION COUNSEL I,LAW,"60923.47341914715,90612.52658085285",27440
18669,POOL MOTOR TRUCK DRIVER,TRANSPORTN,"60155.47341914715,89844.52658085285",27190
18670,TRAFFIC SIGNAL REPAIRMAN,TRANSPORTN,"86867.47341914715,116556.52658085285",26470
18671,AMBULANCE COMMANDER,FIRE,"110285.47341914715,139974.52658085286",1310
18672,TRAFFIC SIGNAL REPAIRMAN,TRANSPORTN,"86867.47341914715,116556.52658085285",27210
18673,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",50170
18674,CROSSING GUARD - PER CBA,OEMC,"60155.47341914715,89844.52658085285",27380
18675,LIBRARY PAGE,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",8290
18676,FIREFIGHTER/PARAMEDIC,FIRE,"82901.47341914715,112590.52658085285",26190
18677,PARAMEDIC,FIRE,"61421.47341914715,91110.52658085285",1160
18678,FIREFIGHTER-EMT,FIRE,"77429.47341914715,107118.52658085285",32270
18679,POOL MOTOR TRUCK DRIVER,AVIATION,"60155.47341914715,89844.52658085285",27410
18680,FIREFIGHTER,FIRE,"78821.47341914715,108510.52658085285",26300
18681,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"82595.47341914715,112284.52658085285",33190
18682,FIREFIGHTER-EMT,FIRE,"77429.47341914715,107118.52658085285",4120
18683,LIEUTENANT-EMT,FIRE,"103151.47341914715,132840.52658085286",31350
18684,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"89087.47341914715,118776.52658085285",20123
18685,BATTALION CHIEF,FIRE,"126125.47341914715,155814.52658085286",33390
18686,CAPTAIN-EMT,FIRE,"121949.47341914715,151638.52658085286",1150
18687,OPERATING ENGINEER-GROUP A,GENERAL SERVICES,"83830.67341914715,113519.72658085285",30200
18688,PARAMEDIC I/C,FIRE,"79277.47341914715,108966.52658085285",27930
18689,CONSTRUCTION LABORER,WATER MGMNT,"68771.47341914715,98460.52658085285",20243
18690,SENIOR COMPANION,FAMILY & SUPPORT,"60155.47341914715,89844.52658085285",20256
18691,PROJECT COORD,BUILDINGS,"62639.47341914715,92328.52658085285",20224
18692,POOL MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",28700
18693,POLICE OFFICER,POLICE,"65171.47341914715,94860.52658085285",32380
18694,FIREFIGHTER-EMT,FIRE,"80639.47341914715,110328.52658085285",3230
18695,OPERATING ENGINEER-GROUP A,GENERAL SERVICES,"83830.67341914715,113519.72658085285",51300
18696,ELECTRICAL MECHANIC,OEMC,"81043.47341914715,110732.52658085285",25640
18697,ASST DIVISION SUPERINTENDENT,STREETS & SAN,"78455.47341914715,108144.52658085285",3400
18698,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",28220
18699,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",2300
18700,MOTOR TRUCK DRIVER,AVIATION,"60155.47341914715,89844.52658085285",27220
18701,POLICE OFFICER / FLD TRNG OFFICER,POLICE,"76493.47341914715,106182.52658085285",30260
18702,FIRE COMMUNICATIONS OPERATOR II,OEMC,"80867.47341914715,110556.52658085285",2160
18703,SUPERVISING ANIMAL CARE CLERK,ANIMAL CONTRL,"60155.47341914715,89844.52658085285",33190
18704,TRAFFIC CONTROL AIDE-HOURLY,OEMC,"60155.47341914715,89844.52658085285",2880
18705,SENIOR ARCHIVAL SPECIALIST,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",2410
18706,STAFF ASST TO THE ALDERMAN,CITY COUNCIL,"60155.47341914715,89844.52658085285",27260
18707,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",9230
18708,POLICE OFFICER,POLICE,"81215.47341914715,110904.52658085285",51170
18709,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",1430
18710,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",52190
18711,SERGEANT,POLICE,"86597.47341914715,116286.52658085285",27370
18712,FIRE COMMUNICATIONS OPERATOR I,OEMC,"60155.47341914715,89844.52658085285",31360
18713,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",7600
18714,MOTOR TRUCK DRIVER,WATER MGMNT,"60155.47341914715,89844.52658085285",31120
18715,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"79277.47341914715,108966.52658085285",50700
18716,LIEUTENANT,POLICE,"105407.47341914715,135096.52658085286",20243
18717,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",33133
18718,POLICE COMMUNICATIONS OPERATOR II,OEMC,"78467.47341914715,108156.52658085285",31290
18719,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",29840
18720,FIRE ENGINEER-EMT,FIRE,"95369.47341914715,125058.52658085285",2860
18721,SANITATION LABORER,STREETS & SAN,"60472.27341914715,90161.32658085285",31160
18722,CUSTODIAL WORKER,WATER MGMNT,"60155.47341914715,89844.52658085285",26110
18723,MOTOR TRUCK DRIVER,WATER MGMNT,"60155.47341914715,89844.52658085285",30190
18724,CONCRETE LABORER,TRANSPORTN,"68771.47341914715,98460.52658085285",34460
18725,ASPHALT LABORER,TRANSPORTN,"68771.47341914715,98460.52658085285",28300
18726,WARD SUPERINTENDENT,STREETS & SAN,"69323.47341914715,99012.52658085285",27310
18727,GENERAL LABORER - DSS,STREETS & SAN,"60155.47341914715,89844.52658085285",1300
18728,FOSTER GRANDPARENT,FAMILY & SUPPORT,"60155.47341914715,89844.52658085285",2360
18729,GENERAL LABORER - DSS,STREETS & SAN,"60155.47341914715,89844.52658085285",51300
18730,HEAD LIBRARY CLERK,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",2860
18731,POOL MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",51250
18732,PAINTER,GENERAL SERVICES,"83601.87341914714,113290.92658085284",32120
18733,CROSSING GUARD,OEMC,"60155.47341914715,89844.52658085285",31800
18734,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",4300
18735,FIREFIGHTER-EMT,FIRE,"80639.47341914715,110328.52658085285",51210
18736,FOREMAN OF SEWER BRICKLAYERS,WATER MGMNT,"87845.07341914716,117534.12658085286",30111
18737,CAPTAIN,POLICE,"118031.47341914715,147720.52658085286",33620
18738,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",32390
18739,POLICE OFFICER,POLICE,"61421.47341914715,91110.52658085285",51340
18740,BATTALION CHIEF - EMT,FIRE,"134657.47341914714,164346.52658085286",29870
18741,HOISTING ENGINEER,WATER MGMNT,"87283.47341914715,116972.52658085285",32310
18742,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"82595.47341914715,112284.52658085285",1250
18743,FIRE ENGINEER-EMT,FIRE,"88505.47341914715,118194.52658085285",52500
18744,FIREFIGHTER/PARAMEDIC,FIRE,"82901.47341914715,112590.52658085285",51240
18745,FIREFIGHTER/PARAMEDIC,FIRE,"86843.47341914715,116532.52658085285",32300
18746,FIREFIGHTER-EMT,FIRE,"74303.47341914715,103992.52658085285",2470
18747,FOREMAN OF HOISTING ENGINEERS,STREETS & SAN,"95603.47341914715,125292.52658085285",51300
18748,LIEUTENANT-EMT,FIRE,"106973.47341914715,136662.52658085286",32320
18749,SERGEANT,POLICE,"96629.47341914715,126318.52658085285",32730
